Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-01-29,2009,Fairfield,352380.0,400000.0,?,Detached House,3,2,955.0,1.025953,South
2009-01-29,2009,Norwalk,,510000.0,Single Family,Detached House,3,1,1080.0,1.025953,South
2009-01-30,2009,Waterbury,59010.0,129900.0,Single Family,Detached House,3,1,1046.0,1.025953,South
2009-01-30,2009,Norwalk,1954890.0,2700000.0,Single Family,Detached House,3,3,1034.0,1.025953,South
2009-01-30,2009,Norwalk,412440.0,712500.0,?,Detached House,3,3,1041.0,1.025953,East
2009-01-31,2009,Greenwich,6246170.0,8500000.0,Single Family,Detached House,3,1,1080.0,1.025953,South
2009-01-31,2009,Greenwich,2540720.0,3845000.0,Single Family,Detached House,3,3,,1.025953,East
2009-01-31,2009,Waterbury,62650.0,101555.0,?,Detached House,3,3,936.0,1.025953,South
2009-01-31,2009,Waterbury,88480.0,220000.0,Single Family,Detached House,3,1,1057.0,1.025953,East
2009-01-31,2009,Fairfield,425180.0,565000.0,?,Detached House,3,1,928.0,1.025953,West
2009-01-31,2009,Norwalk,234290.0,60000.0,Single Family,Detached House,3,3,,1.025953,South
2009-01-31,2009,Fairfield,243740.0,340000.0,Single Family,Detached House,3,1,906.0,1.025953,West
2009-02-01,2009,,141820.0,235000.0,?,Duplex,4,2,1356.0,1.025953,East
2009-02-01,2009,,120470.0,280000.0,Single Family,Detached House,3,1,959.0,1.025953,West
2009-02-01,2009,,46200.0,124900.0,Single Family,Detached House,3,3,915.0,1.025953,North
2009-02-01,2009,Waterbury,67270.0,200000.0,Two Family,Duplex,4,4,1300.0,1.025953,South
2009-02-01,2009,Greenwich,,970000.0,Single Family,Detached House,3,2,1018.0,1.025953,North
2009-02-01,2009,Bridgeport,85540.0,230000.0,Single Family,Detached House,3,3,1016.0,1.025953,North
2009-02-01,2009,Bridgeport,83161.0,190000.0,Single Family,Detached House,3,3,900.0,1.025953,South
2009-02-01,2009,Fairfield,717010.0,820000.0,?,Detached House,3,2,958.0,1.025953,North
2009-02-01,2009,Greenwich,628460.0,800000.0,Single Family,Detached House,3,3,1025.0,1.025953,East
2009-02-02,2009,,95410.0,159000.0,Single Family,Detached House,3,1,947.0,1.025953,East
2009-02-02,2009,Greenwich,651630.0,770000.0,Single Family,Detached House,3,2,1029.0,1.025953,East
2009-02-02,2009,,324240.0,500000.0,?,Duplex,4,2,1498.0,1.025953,South
2009-02-05,2009,Bridgeport,133070.0,290000.0,Single Family,Detached House,3,3,1023.0,1.025953,East
2009-02-05,2009,Waterbury,67200.0,184900.0,Three Family,Triplex,6,4,1821.0,1.025953,East
2009-02-05,2009,Waterbury,96250.0,215000.0,?,Detached House,3,2,1095.0,1.025953,West
2009-02-05,2009,Fairfield,1334270.0,490500.0,?,Detached House,3,2,929.0,1.025953,East
2009-02-05,2009,Waterbury,78680.0,175000.0,Three Family,Triplex,6,4,2062.0,1.025953,West
2009-02-05,2009,Greenwich,,770000.0,?,Detached House,3,2,1071.0,1.025953,South
2009-02-05,2009,Waterbury,,156000.0,Two Family,Duplex,4,3,1398.0,1.025953,East
2009-02-08,2009,Bridgeport,174231.0,363000.0,Four Family,Fourplex,8,6,2935.0,1.025953,South
2009-02-08,2009,Fairfield,457380.0,750000.0,?,Detached House,3,3,995.0,1.025953,South
2009-02-09,2009,,162890.0,288000.0,Single Family,Detached House,3,3,,1.025953,East
2009-02-12,2009,Greenwich,2828910.0,4450000.0,Single Family,Detached House,3,2,920.0,1.025953,East
2009-02-12,2009,Norwalk,206010.0,320000.0,Single Family,Detached House,3,1,913.0,1.025953,South
2009-02-13,2009,Bridgeport,148121.0,248000.0,?,Detached House,3,1,1043.0,1.025953,West
2009-02-15,2009,Bridgeport,73220.0,299900.0,Three Family,Triplex,6,4,2142.0,1.025953,West
2009-02-15,2009,,,120500.0,?,Detached House,3,3,,1.025953,West
2009-02-15,2009,Greenwich,1849120.0,3500000.0,Single Family,Detached House,3,2,928.0,1.025953,North
2009-02-15,2009,Bridgeport,117601.0,230000.0,Single Family,Detached House,3,2,1016.0,1.025953,South
2009-02-16,2009,Waterbury,76580.0,156000.0,?,Detached House,3,1,,1.025953,East
2009-02-16,2009,Waterbury,70140.0,110000.0,Single Family,Detached House,3,2,909.0,1.025953,South
2009-02-16,2009,Bridgeport,110390.0,250000.0,Single Family,Detached House,3,1,904.0,1.025953,West
2009-02-16,2009,Bridgeport,168000.0,399900.0,?,Triplex,6,4,1876.0,1.025953,South
2009-02-16,2009,Waterbury,77070.0,177000.0,Single Family,Detached House,3,1,975.0,1.025953,West
2009-02-16,2009,Bridgeport,91770.0,214000.0,Single Family,Detached House,3,3,,1.025953,North
2009-02-20,2009,Bridgeport,61228.0,7000.0,Single Family,Detached House,3,1,1058.0,1.025953,East
2009-02-20,2009,Waterbury,57820.0,135000.0,Single Family,Detached House,3,2,909.0,1.025953,North
2009-02-20,2009,Waterbury,63010.0,100000.0,?,Detached House,3,2,952.0,1.025953,South
2009-02-21,2009,Greenwich,653450.0,1250000.0,Single Family,Detached House,3,2,932.0,1.025953,South
2009-02-21,2009,Waterbury,47050.0,96400.0,Single Family,Detached House,3,1,913.0,1.025953,West
2009-02-22,2009,Greenwich,2844800.0,5625000.0,?,Detached House,3,2,1067.0,1.025953,West
2009-02-22,2009,Greenwich,,1050000.0,?,Detached House,3,2,947.0,1.025953,North
2009-02-22,2009,Bridgeport,56000.0,240000.0,Single Family,Detached House,3,2,959.0,1.025953,South
2009-02-22,2009,Waterbury,91210.0,212300.0,?,Triplex,6,6,1928.0,1.025953,South
2009-02-23,2009,Greenwich,,7025000.0,?,Detached House,3,3,940.0,1.025953,East
2009-02-23,2009,Norwalk,649530.0,1049000.0,?,Detached House,3,2,1100.0,1.025953,West
2009-02-23,2009,Waterbury,52510.0,121500.0,Two Family,Duplex,4,4,1487.0,1.025953,West
2009-02-26,2009,Fairfield,221060.0,300000.0,Single Family,Detached House,3,3,1009.0,1.025953,North
2009-02-27,2009,Waterbury,59010.0,230000.0,Three Family,Triplex,6,5,2041.0,1.025953,North
2009-02-27,2009,Fairfield,,190000.0,Single Family,Detached House,3,3,1073.0,1.025953,South
2009-02-28,2009,Greenwich,608720.0,826000.0,Two Family,Duplex,4,4,1365.0,1.025953,South
2009-02-28,2009,Greenwich,2656080.0,4755018.0,?,Detached House,3,3,,1.025953,West
2009-03-01,2009,Greenwich,1400910.0,1900000.0,Single Family,Detached House,3,2,960.0,1.025953,West
2009-03-01,2009,Norwalk,264040.0,569900.0,Single Family,Detached House,3,1,1027.0,1.025953,West
2009-03-01,2009,Greenwich,2098950.0,3000000.0,Single Family,Detached House,3,1,939.0,1.025953,West
2009-03-01,2009,Waterbury,55300.0,48521.0,Single Family,Detached House,3,1,1061.0,1.025953,North
2009-03-01,2009,Fairfield,828030.0,1425000.0,Single Family,Detached House,3,3,1024.0,1.025953,South
2009-03-02,2009,,139300.0,285000.0,Single Family,Detached House,3,3,929.0,1.025953,South
2009-03-02,2009,,146930.0,289000.0,Single Family,Detached House,3,3,1012.0,1.025953,North
2009-03-02,2009,,82810.0,191500.0,?,Detached House,3,3,1097.0,1.025953,South
2009-03-02,2009,,341040.0,550000.0,Single Family,Detached House,3,3,,1.025953,West
2009-03-05,2009,Bridgeport,96600.0,183000.0,Two Family,Duplex,4,3,1426.0,1.025953,East
2009-03-05,2009,Waterbury,92120.0,223000.0,Single Family,Detached House,3,3,937.0,1.025953,West
2009-03-05,2009,Waterbury,55510.0,130000.0,Three Family,Triplex,6,5,2003.0,1.025953,North
2009-03-06,2009,Norwalk,,448000.0,Two Family,Duplex,4,4,1261.0,1.025953,North
2009-03-06,2009,Fairfield,2072490.0,2084000.0,?,Detached House,3,3,,1.025953,East
2009-03-06,2009,,369810.0,385000.0,Single Family,Detached House,3,3,1052.0,1.025953,South
2009-03-07,2009,Norwalk,,370000.0,Two Family,Duplex,4,2,1490.0,1.025953,West
2009-03-07,2009,Bridgeport,126070.0,271000.0,Single Family,Detached House,3,1,1052.0,1.025953,West
2009-03-08,2009,Waterbury,85820.0,229000.0,Three Family,Triplex,6,6,,1.025953,West
2009-03-08,2009,Bridgeport,120121.0,278100.0,?,Detached House,3,1,1037.0,1.025953,East
2009-03-08,2009,Greenwich,1690010.0,1700000.0,?,Detached House,3,2,1037.0,1.025953,South
2009-03-12,2009,Waterbury,15050.0,102000.0,Single Family,Detached House,3,2,,1.025953,West
2009-03-12,2009,,252980.0,691000.0,?,Fourplex,8,7,2429.0,1.025953,West
2009-03-12,2009,Norwalk,,505000.0,Single Family,Detached House,3,1,1022.0,1.025953,South
2009-03-13,2009,,113750.0,195000.0,Three Family,Triplex,6,6,2004.0,1.025953,West
2009-03-13,2009,Bridgeport,117110.0,267500.0,Single Family,Detached House,3,2,948.0,1.025953,South
2009-03-13,2009,Fairfield,747250.0,1160000.0,Single Family,Detached House,3,1,1024.0,1.025953,South
2009-03-14,2009,Norwalk,,589900.0,Single Family,Detached House,3,3,1017.0,1.025953,North
2009-03-14,2009,Greenwich,556780.0,850000.0,?,Duplex,4,3,,1.025953,West
2009-03-14,2009,Fairfield,4102560.0,7850000.0,Single Family,Detached House,3,2,964.0,1.025953,North
2009-03-14,2009,Bridgeport,115360.0,233000.0,Two Family,Duplex,4,2,1454.0,1.025953,North
2009-03-14,2009,Waterbury,46980.0,159000.0,Two Family,Duplex,4,4,1226.0,1.025953,East
2009-03-14,2009,Greenwich,,3000000.0,Single Family,Detached House,3,3,1084.0,1.025953,East
2009-03-15,2009,Greenwich,1214570.0,2200000.0,Single Family,Detached House,3,1,908.0,1.025953,East
2009-03-15,2009,Norwalk,248788.0,490000.0,Single Family,Detached House,3,1,940.0,1.025953,West
2009-03-15,2009,Bridgeport,166014.0,395000.0,Three Family,Triplex,6,4,2184.0,1.025953,East
2009-03-16,2009,Waterbury,,149000.0,Single Family,Detached House,3,3,1098.0,1.025953,East
2009-03-19,2009,Norwalk,197400.0,340000.0,Single Family,Detached House,3,2,1025.0,1.025953,East
2009-03-19,2009,Waterbury,55860.0,148847.0,Two Family,Duplex,4,2,1339.0,1.025953,East
2009-03-19,2009,Waterbury,,147000.0,Single Family,Detached House,3,2,965.0,1.025953,East
2009-03-19,2009,Norwalk,358470.0,705000.0,?,Detached House,3,3,,1.025953,East
2009-03-19,2009,Bridgeport,172270.0,285000.0,?,Triplex,6,6,2117.0,1.025953,East
2009-03-19,2009,Waterbury,97800.0,260000.0,Three Family,Triplex,6,4,,1.025953,West
2009-03-19,2009,Waterbury,72310.0,157000.0,Single Family,Detached House,3,3,936.0,1.025953,West
2009-03-19,2009,Waterbury,,169900.0,Single Family,Detached House,3,2,,1.025953,West
2009-03-19,2009,Fairfield,361620.0,525000.0,Single Family,Detached House,3,1,1048.0,1.025953,West
2009-03-20,2009,Bridgeport,,67500.0,Two Family,Duplex,4,3,1436.0,1.025953,North
2009-03-20,2009,Fairfield,513240.0,867500.0,Single Family,Detached House,3,2,1089.0,1.025953,North
2009-03-20,2009,,163310.0,405000.0,Two Family,Duplex,4,2,1467.0,1.025953,West
2009-03-20,2009,Bridgeport,131670.0,200000.0,Single Family,Detached House,3,2,,1.025953,East
2009-03-20,2009,Bridgeport,126630.0,269000.0,Single Family,Detached House,3,1,1053.0,1.025953,East
2009-03-21,2009,Fairfield,,345000.0,Single Family,Detached House,3,2,955.0,1.025953,West
2009-03-21,2009,Norwalk,248150.0,570000.0,Single Family,Detached House,3,2,1078.0,1.025953,West
2009-03-21,2009,Fairfield,355320.0,435000.0,Single Family,Detached House,3,3,1095.0,1.025953,West
2009-03-21,2009,,88130.0,81250.0,Single Family,Detached House,3,1,1026.0,1.025953,North
2009-03-21,2009,Greenwich,1285480.0,2150000.0,Single Family,Detached House,3,2,1021.0,1.025953,West
2009-03-22,2009,Norwalk,219100.0,427000.0,Single Family,Detached House,3,3,1021.0,1.025953,West
2009-03-23,2009,Norwalk,382900.0,777500.0,Single Family,Detached House,3,2,900.0,1.025953,East
2009-03-27,2009,Norwalk,286090.0,520000.0,?,Detached House,3,1,1058.0,1.025953,East
2009-03-27,2009,Fairfield,385140.0,485000.0,Single Family,Detached House,3,1,,1.025953,East
2009-03-28,2009,Fairfield,377650.0,450000.0,?,Detached House,3,3,1100.0,1.025953,West
2009-03-28,2009,Norwalk,202670.0,403000.0,Single Family,Detached House,3,1,,1.025953,East
2009-03-28,2009,Fairfield,541030.0,750000.0,?,Detached House,3,3,1079.0,1.025953,North
2009-03-28,2009,Bridgeport,109130.0,235000.0,Single Family,Detached House,3,3,985.0,1.025953,South
2009-03-29,2009,Bridgeport,72380.0,249900.0,Two Family,Duplex,4,4,1347.0,1.025953,South
2009-03-30,2009,Norwalk,262500.0,412000.0,Single Family,Detached House,3,3,1064.0,1.025953,South
2009-03-30,2009,Greenwich,8028860.0,8236500.0,Single Family,Detached House,3,1,1055.0,1.025953,North
2009-03-30,2009,Fairfield,342930.0,820000.0,Single Family,Detached House,3,2,924.0,1.025953,East
2009-03-30,2009,Waterbury,16660.0,15000.0,Three Family,Triplex,6,4,1978.0,1.025953,South
2009-03-30,2009,Greenwich,,500000.0,?,Detached House,3,1,1048.0,1.025953,West
2009-03-30,2009,Bridgeport,155960.0,355000.0,Three Family,Triplex,6,5,2146.0,1.025953,South
2009-03-30,2009,Bridgeport,126420.0,177500.0,Single Family,Detached House,3,3,931.0,1.025953,North
2009-03-30,2009,Waterbury,99260.0,295000.0,Four Family,Fourplex,8,6,2983.0,1.025953,North
2009-03-30,2009,,2359840.0,3400000.0,Single Family,Detached House,3,3,1062.0,1.025953,South
2009-03-30,2009,Bridgeport,112910.0,299750.0,Single Family,Detached House,3,3,919.0,1.025953,West
2009-04-02,2009,Fairfield,303170.0,490000.0,Single Family,Detached House,3,1,,1.025953,West
2009-04-02,2009,Bridgeport,,195000.0,Single Family,Detached House,3,1,906.0,1.025953,South
2009-04-02,2009,Waterbury,62930.0,196000.0,Three Family,Triplex,6,5,1953.0,1.025953,South
2009-04-02,2009,Norwalk,224770.0,430000.0,Single Family,Detached House,3,2,1091.0,1.025953,East
2009-04-02,2009,,53410.0,144000.0,Two Family,Duplex,4,3,1386.0,1.025953,East
2009-04-02,2009,Waterbury,107100.0,250000.0,?,Detached House,3,2,,1.025953,South
2009-04-02,2009,Waterbury,104160.0,269900.0,?,Duplex,4,4,1349.0,1.025953,West
2009-04-02,2009,Norwalk,,1945000.0,Single Family,Detached House,3,1,986.0,1.025953,North
2009-04-03,2009,Norwalk,255710.0,462000.0,?,Detached House,3,1,1022.0,1.025953,West
2009-04-03,2009,Bridgeport,125370.0,270000.0,Single Family,Detached House,3,1,982.0,1.025953,West
2009-04-03,2009,Waterbury,226660.0,320000.0,Single Family,Detached House,3,2,1061.0,1.025953,East
2009-04-03,2009,,135801.0,390000.0,Three Family,Triplex,6,5,2143.0,1.025953,South
2009-04-03,2009,Fairfield,387170.0,515000.0,Single Family,Detached House,3,3,1093.0,1.025953,West
2009-04-03,2009,Norwalk,218330.0,407500.0,Single Family,Detached House,3,1,1014.0,1.025953,North
2009-04-04,2009,Waterbury,101430.0,329000.0,Three Family,Triplex,6,6,2019.0,1.025953,North
2009-04-05,2009,Bridgeport,245210.0,445000.0,Single Family,Detached House,3,3,980.0,1.025953,East
2009-04-05,2009,Bridgeport,42420.0,52000.0,Two Family,Duplex,4,2,1372.0,1.025953,South
2009-04-05,2009,Greenwich,1597610.0,3150000.0,Single Family,Detached House,3,1,947.0,1.025953,West
2009-04-05,2009,Waterbury,129010.0,270000.0,Single Family,Detached House,3,2,991.0,1.025953,West
2009-04-05,2009,Norwalk,812630.0,1695000.0,Single Family,Detached House,3,1,923.0,1.025953,South
2009-04-05,2009,Norwalk,251790.0,425000.0,Single Family,Detached House,3,2,950.0,1.025953,West
2009-04-05,2009,Greenwich,4705820.0,6750000.0,Single Family,Detached House,3,3,986.0,1.025953,North
2009-04-09,2009,Waterbury,,163000.0,Single Family,Detached House,3,1,997.0,1.025953,East
2009-04-09,2009,Bridgeport,118440.0,285000.0,Single Family,Detached House,3,1,973.0,1.025953,East
2009-04-09,2009,Greenwich,5630730.0,7000000.0,Single Family,Detached House,3,2,999.0,1.025953,North
2009-04-09,2009,Bridgeport,176750.0,257000.0,Three Family,Triplex,6,4,1804.0,1.025953,East
2009-04-09,2009,,77280.0,239900.0,Two Family,Duplex,4,3,1322.0,1.025953,North
2009-04-10,2009,Fairfield,343980.0,410000.0,Single Family,Detached House,3,1,991.0,1.025953,West
2009-04-10,2009,Norwalk,207760.0,375000.0,Single Family,Detached House,3,2,1035.0,1.025953,South
2009-04-11,2009,Greenwich,1120350.0,1575000.0,Single Family,Detached House,3,3,945.0,1.025953,South
2009-04-11,2009,Bridgeport,113680.0,185000.0,Single Family,Detached House,3,3,972.0,1.025953,East
2009-04-11,2009,Greenwich,634200.0,860000.0,Single Family,Detached House,3,3,1083.0,1.025953,North
2009-04-12,2009,Bridgeport,11830.0,206000.0,Single Family,Detached House,3,1,913.0,1.025953,East
2009-04-12,2009,Bridgeport,116060.0,125185.0,Single Family,Detached House,3,2,1024.0,1.025953,South
2009-04-13,2009,Fairfield,,407500.0,Single Family,Detached House,3,2,981.0,1.025953,North
2009-04-13,2009,Waterbury,66780.0,245000.0,Three Family,Triplex,6,5,1806.0,1.025953,West
2009-04-13,2009,Waterbury,,108000.0,Single Family,Detached House,3,3,1012.0,1.025953,North
2009-04-13,2009,Norwalk,292530.0,402000.0,Single Family,Detached House,3,1,,1.025953,West
2009-04-13,2009,Norwalk,1336580.0,1675000.0,Single Family,Detached House,3,3,,1.025953,South
2009-04-13,2009,Norwalk,371210.0,605000.0,Single Family,Detached House,3,2,992.0,1.025953,West
2009-04-13,2009,Waterbury,60620.0,164000.0,?,Detached House,3,1,1098.0,1.025953,East
2009-04-16,2009,Bridgeport,115850.0,243750.0,Two Family,Duplex,4,2,1241.0,1.025953,North
2009-04-17,2009,Greenwich,2624790.0,2899000.0,Single Family,Detached House,3,3,1044.0,1.025953,East
2009-04-17,2009,Greenwich,443940.0,515000.0,?,Detached House,3,1,1018.0,1.025953,South
2009-04-17,2009,Fairfield,521150.0,670000.0,Single Family,Detached House,3,1,996.0,1.025953,North
2009-04-18,2009,Bridgeport,71680.0,164000.0,Single Family,Detached House,3,1,1054.0,1.025953,South
2009-04-18,2009,Fairfield,869680.0,1387500.0,Single Family,Detached House,3,1,,1.025953,East
2009-04-18,2009,Waterbury,59710.0,235000.0,?,Triplex,6,5,1993.0,1.025953,East
2009-04-19,2009,,75810.0,193400.0,Two Family,Duplex,4,4,1307.0,1.025953,West
2009-04-19,2009,Greenwich,134330.0,1500000.0,Single Family,Detached House,3,1,913.0,1.025953,South
2009-04-20,2009,Bridgeport,184800.0,130000.0,Single Family,Detached House,3,3,909.0,1.025953,North
2009-04-20,2009,Greenwich,1749930.0,3140000.0,Single Family,Detached House,3,2,,1.025953,North
2009-04-20,2009,Waterbury,37170.0,84900.0,Single Family,Detached House,3,3,1033.0,1.025953,East
2009-04-23,2009,Bridgeport,113890.0,225000.0,Two Family,Duplex,4,3,,1.025953,North
2009-04-23,2009,Bridgeport,,215000.0,Single Family,Detached House,3,3,,1.025953,South
2009-04-23,2009,Greenwich,2179380.0,2650000.0,Single Family,Detached House,3,2,1094.0,1.025953,North
2009-04-23,2009,Fairfield,1291710.0,1750000.0,?,Detached House,3,3,950.0,1.025953,North
2009-04-23,2009,Greenwich,641690.0,1200000.0,Single Family,Detached House,3,3,967.0,1.025953,East
2009-04-23,2009,Fairfield,376880.0,710000.0,Single Family,Detached House,3,2,926.0,1.025953,South
2009-04-24,2009,Fairfield,389900.0,389900.0,Single Family,Detached House,3,1,1023.0,1.025953,East
2009-04-24,2009,Norwalk,340883.0,702500.0,Single Family,Detached House,3,2,945.0,1.025953,South
2009-04-24,2009,Norwalk,248360.0,455000.0,Single Family,Detached House,3,1,1023.0,1.025953,North
2009-04-24,2009,Waterbury,,205000.0,?,Detached House,3,3,930.0,1.025953,East
2009-04-25,2009,Bridgeport,176890.0,320000.0,Single Family,Detached House,3,3,,1.025953,South
2009-04-25,2009,,397390.0,560000.0,?,Detached House,3,3,926.0,1.025953,West
2009-04-25,2009,Waterbury,62580.0,159900.0,Single Family,Detached House,3,3,1041.0,1.025953,East
2009-04-25,2009,Fairfield,433440.0,805000.0,Single Family,Detached House,3,3,1032.0,1.025953,North
2009-04-25,2009,Bridgeport,60831.0,140000.0,Single Family,Detached House,3,3,1061.0,1.025953,North
2009-04-25,2009,,,300000.0,Single Family,Detached House,3,3,1056.0,1.025953,West
2009-04-25,2009,Greenwich,699790.0,1265000.0,?,Detached House,3,3,922.0,1.025953,West
2009-04-26,2009,,70210.0,160000.0,Single Family,Detached House,3,3,1008.0,1.025953,West
2009-04-27,2009,Waterbury,104090.0,254000.0,Single Family,Detached House,3,2,1010.0,1.025953,South
2009-04-27,2009,Bridgeport,96390.0,175000.0,?,Detached House,3,2,985.0,1.025953,East
2009-04-27,2009,Greenwich,,580000.0,Single Family,Detached House,3,3,965.0,1.025953,East
2009-04-27,2009,Bridgeport,183330.0,316000.0,Single Family,Detached House,3,3,961.0,1.025953,West
2009-04-27,2009,Fairfield,437500.0,579000.0,Single Family,Detached House,3,1,,1.025953,East
